fileID,f1,f2,vot,notes
bi03_kaka,1076.19,1898.05,21.07,
bi03_kaka1,841.55,1494.08,31.95,
bi03_kaka2,820.01,1661.04,25.99,
bi03_keke,789.69,2378.42,23.50,
bi03_keke1,525.62,2278.96,22.19,
bi03_keke2,500.31,2509.18,18.82,
bi03_kiki,418.76,2668.89,30.62,
bi03_kiki1,355.02,2690.21,21.97,
bi03_kiki2,349.16,2677.92,25.34,
bi03_koko,568.36,833.04,28.01,
bi03_koko1,554.20,902.18,32.18,
bi03_koko2,795.11,1135.53,34.21,
bi03_kuku,395.86,758.72,30.41,
bi03_kuku1,251.24,1688.86,30.32,
bi03_kuku2,412.70,830.95,36.09,
bi03_paka,1135.84,1701.89,7.95,
bi03_paka1,747.07,1626.03,8.43,
bi03_paka2,668.86,1789.65,12.39,
bi03_peke,432.72,1805.18,8.24,
bi03_peke1,552.23,2330.20,12.77,
bi03_peke2,955.83,2427.32,7.32,
bi03_piki,379.78,2722.02,19.96,
bi03_piki1,326.26,2832.67,18.64,
bi03_piki2,1289.00,2573.03,19.96,
bi03_poko,532.36,888.49,33.27,
bi03_poko1,622.69,1886.59,16.57,
bi03_poko2,514.56,865.75,17.77,
bi03_puku,464.30,574.30,22.32,
bi03_puku1,676.90,1583.01,32.15,
bi03_puku2,420.72,816.45,14.56,
bi03_taka,755.74,1639.01,15.71,
bi03_taka1,825.60,1645.75,16.26,
bi03_taka2,861.74,1540.12,14.99,
bi03_teke,460.50,2349.30,13.69,
bi03_teke1,452.81,2405.63,17.00,
bi03_teke2,427.77,2443.32,7.37,
bi03_tiki,357.33,2505.69,13.98,
bi03_tiki1,926.57,2325.54,9.03,
bi03_tiki2,401.74,1948.48,26.36,
bi03_toko,794.84,977.40,7.13,
bi03_toko1,761.46,1090.23,15.08,
bi03_toko2,775.09,1044.70,16.73,
bi03_tuku,653.25,782.57,13.12,
bi03_tuku1,400.10,737.78,11.44,
bi03_tuku2,395.79,774.04,16.21,
