fileID,f1,f2,vot,notes
ne03_kaka,775.31,1800.52,29.32,
ne03_kaka1,818.73,1725.65,34.96,
ne03_kaka2,880.89,1559.07,45.29,
ne03_keke,637.96,2639.20,27.90,
ne03_keke1,566.52,1750.55,32.88,
ne03_keke2,561.66,2563.69,36.89,
ne03_kiki,516.32,2719.04,39.24,
ne03_kiki1,404.74,2108.97,77.89,
ne03_kiki2,372.93,2811.65,63.03,
ne03_koko,508.43,1070.48,48.80,
ne03_koko1,571.71,1215.19,34.59,
ne03_koko2,570.15,1091.96,39.76,
ne03_kuku,516.14,991.43,50.04,
ne03_kuku1,466.68,1071.68,55.14,
ne03_kuku2,413.47,1059.35,48.52,
ne03_paka,847.05,1788.31,12.98,
ne03_paka1,727.13,1835.21,25.80,
ne03_paka2,748.30,1910.87,7.54,
ne03_peke,548.46,1543.56,11.66,
ne03_peke1,741.84,2478.12,36.51,
ne03_peke2,597.36,2250.22,18.20,
ne03_piki,364.21,2663.15,21.11,
ne03_piki1,379.48,1971.50,42.21,
ne03_piki2,391.33,2199.21,20.92,
ne03_poko,637.82,1122.16,18.39,
ne03_poko1,583.42,1185.48,37.70,
ne03_poko2,594.51,1101.82,40.61,
ne03_puku,882.83,1340.55,27.90,
ne03_puku1,427.44,969.27,48.09,
ne03_puku2,496.74,998.06,72.78,
ne03_taka,739.66,1834.87,23.40,
ne03_taka1,853.22,1737.96,24.40,
ne03_taka2,670.89,1274.38,17.12,
ne03_teke,576.45,1537.08,40.94,
ne03_teke1,575.05,1876.76,34.24,
ne03_teke2,564.41,1684.58,27.96,
ne03_tiki,379.67,2788.28,46.21,
ne03_tiki1,377.03,1530.37,78.29,
ne03_tiki2,409.52,1762.17,32.54,
ne03_toko,613.97,1105.77,37.81,
ne03_toko1,620.36,1194.26,42.30,
ne03_toko2,529.21,1046.32,28.60,
ne03_tuku,445.66,1095.93,44.19,
ne03_tuku1,428.79,1050.82,64.49,
ne03_tuku2,474.28,1125.62,47.39,
